date,museum,_ - _ - artist,_ - _ - artist - artist,designer,title,medium
1790-01-01T00:00:00Z,v&a,,,Artist unknown,,moquette
1962-01-01T00:00:00Z,v&a,Artist unknown,,Artist unknown,,birch
1962-01-01T00:00:00Z,v&a,,,Artist unknown,,plywood
1955-01-01T00:00:00Z,v&a,Arne Jacobsen,,Arne Jacobsen,3107,teak
1955-01-01T00:00:00Z,v&a,,,Arne Jacobsen,3107,plywood
1955-01-01T00:00:00Z,v&a,,,Arne Jacobsen,3107,rubber
1955-01-01T00:00:00Z,v&a,,,Arne Jacobsen,3107,chrome
1955-01-01T00:00:00Z,v&a,,,Arne Jacobsen,3107,steel
1670-01-01T00:00:00Z,v&a,Artist unknown,,Artist unknown,,walnut
1670-01-01T00:00:00Z,v&a,,,Artist unknown,,beech
1670-01-01T00:00:00Z,v&a,,,Artist unknown,,cane
1865-01-01T00:00:00Z,v&a,Thonet,,Thonet,,beech
1865-01-01T00:00:00Z,v&a,,,Thonet,,
1865-01-01T00:00:00Z,v&a,,,Thonet,,wood
1660-01-01T00:00:00Z,v&a,Artist unknown,,Artist unknown,,walnut
1660-01-01T00:00:00Z,v&a,,,Artist unknown,,cane
1983-01-01T00:00:00Z,v&a,Artist unknown,,Artist unknown,,leather
1983-01-01T00:00:00Z,v&a,,,Artist unknown,,wood
1600-01-01T00:00:00Z,v&a,Artist unknown,,Artist unknown,,walnut
1901-01-01T00:00:00Z,v&a,Morris & Co.,,Morris & Co.,,mahogany
1720-01-01T00:00:00Z,v&a,Roberts Family,,Roberts Family,,walnut
1720-01-01T00:00:00Z,v&a,,,Roberts Family,,velvet
1720-01-01T00:00:00Z,v&a,,,Roberts Family,,silk
1750-01-01T00:00:00Z,v&a,Artist unknown,,Artist unknown,,mahogany
1770-01-01T00:00:00Z,v&a,Artist unknown,,Artist unknown,,mahogany
1770-01-01T00:00:00Z,v&a,,,Artist unknown,,leather
1983-01-01T00:00:00Z,v&a,Fritz Hansen,,Fritz Hansen,Alterna,beech
1983-01-01T00:00:00Z,v&a,,,Fritz Hansen,Alterna,steel
1930-01-01T00:00:00Z,v&a,Artist unknown,,Artist unknown,,wood
1690-01-01T00:00:00Z,v&a,Artist unknown,,Artist unknown,,walnut
1869-01-01T00:00:00Z,v&a,Edward Godwin,,Edward Godwin,,oak
1869-01-01T00:00:00Z,v&a,,,Edward Godwin,,leather
1890-01-01T00:00:00Z,v&a,Artist unknown,,Artist unknown,,wood
1715-01-01T00:00:00Z,v&a,Artist unknown,,Artist unknown,,walnut
1800-01-01T00:00:00Z,v&a,Artist unknown,,Artist unknown,,rosewood
1800-01-01T00:00:00Z,v&a,,,Artist unknown,,brass
1983-01-01T00:00:00Z,v&a,John Haynes & Sons,,John Haynes & Sons,,walnut
1855-01-01T00:00:00Z,v&a,Artist unknown,,Artist unknown,,walnut
1800-01-01T00:00:00Z,v&a,Artist unknown,,Artist unknown,,mahogany
1800-01-01T00:00:00Z,v&a,,,Artist unknown,,beech
1732-01-01T00:00:00Z,v&a,Artist unknown,,Artist unknown,,metal thread
1732-01-01T00:00:00Z,v&a,,,Artist unknown,,silk
1732-01-01T00:00:00Z,v&a,,,Artist unknown,,velvet
1732-01-01T00:00:00Z,v&a,,,Artist unknown,,beech
1732-01-01T00:00:00Z,v&a,,,Artist unknown,,pine
1732-01-01T00:00:00Z,v&a,,,Artist unknown,,walnut
1732-01-01T00:00:00Z,v&a,,,Artist unknown,,linen
1732-01-01T00:00:00Z,v&a,,,Artist unknown,,horsehair
1680-01-01T00:00:00Z,v&a,Artist unknown,,Artist unknown,,walnut
1820-01-01T00:00:00Z,v&a,Artist unknown,,Artist unknown,,walnut
1820-01-01T00:00:00Z,v&a,,,Artist unknown,,pine
1820-01-01T00:00:00Z,v&a,,,Artist unknown,,brass
1800-01-01T00:00:00Z,v&a,Artist unknown,,Artist unknown,,wood
1976-01-01T00:00:00Z,v&a,Fred Scott,,Fred Scott,Supporto,chicken-wire
1946-01-01T00:00:00Z,aic,Charles Eames,,Charles Eames,Dining Chair (model DCW),plywood
2004-01-01T00:00:00Z,aic,Bertjan Pot,,Bertjan Pot,Carbon Chair,carbon fiber
2004-01-01T00:00:00Z,aic,,,Bertjan Pot,Carbon Chair,epoxy
2009-01-01T00:00:00Z,aic,Shigeru Ban,,Shigeru Ban,10-Unit System Chair,UPM ProFi
2009-01-01T00:00:00Z,aic,,,Shigeru Ban,10-Unit System Chair,
2006-01-01T00:00:00Z,aic,Barber Osgerby,,Barber Osgerby,De La Warr Pavilion Chair,cast
2006-01-01T00:00:00Z,aic,,,Barber Osgerby,De La Warr Pavilion Chair,pressed aluminum
2006-01-01T00:00:00Z,aic,,,Barber Osgerby,De La Warr Pavilion Chair,steel
2006-01-01T00:00:00Z,aic,,,Barber Osgerby,De La Warr Pavilion Chair,nylon
1974-01-01T00:00:00Z,aic,Enzo Mari,,Enzo Mari,Sedia 1 Chair,untreated pine
1974-01-01T00:00:00Z,aic,,,Enzo Mari,Sedia 1 Chair,nails
1960-01-01T00:00:00Z,aic,Joe Cesare Colombo,,Joe Cesare Colombo,Stacking Chair (one of two),nylon
1960-01-01T00:00:00Z,aic,,,Joe Cesare Colombo,Stacking Chair (one of two),polypropylene
2004-01-01T00:00:00Z,aic,Richard Hutten,,Richard Hutten,This Chair,walnut
2004-01-01T00:00:00Z,aic,,,Richard Hutten,This Chair,chrome
2013-01-01T00:00:00Z,aic,David Adjaye,,David Adjaye,Washington Skeleton Aluminum Side Chair,aluminum
1944-01-01T00:00:00Z,aic,Hans J. Wegner,,Hans J. Wegner,Chinese Chair,stain
1944-01-01T00:00:00Z,aic,,,Hans J. Wegner,Chinese Chair,cherry
1944-01-01T00:00:00Z,aic,,,Hans J. Wegner,Chinese Chair,jute
1944-01-01T00:00:00Z,aic,,,Hans J. Wegner,Chinese Chair,leather
2008-01-01T00:00:00Z,aic,Konstantin Grcic,,Konstantin Grcic,Myto Cantilever Chair,basf ultradur high speed
2013-01-01T00:00:00Z,aic,David Adjaye,,David Adjaye,Washington Skin Nylon Side Chair,injection-molded
2013-01-01T00:00:00Z,aic,,,David Adjaye,Washington Skin Nylon Side Chair,glass-reinforced nylon
2013-01-01T00:00:00Z,aic,,,David Adjaye,Washington Skin Nylon Side Chair,aluminum
2013-01-01T00:00:00Z,aic,,,David Adjaye,Washington Skin Nylon Side Chair,stainless steel
2010-01-01T00:00:00Z,aic,Shane Schneck,,Shane Schneck,Ru Chair,birch plywood
2010-01-01T00:00:00Z,aic,,,Shane Schneck,Ru Chair,ash veneer
2012-01-01T00:00:00Z,aic,Jonathan Olivares,,Jonathan Olivares,Olivares Aluminum Chair,die-cast aluminum
2012-01-01T00:00:00Z,aic,,,Jonathan Olivares,Olivares Aluminum Chair,powder coat paint
2012-01-01T00:00:00Z,aic,,,Jonathan Olivares,Olivares Aluminum Chair,stainless steel
1949-01-01T00:00:00Z,aic,Hans J. Wegner,,Hans J. Wegner,Folding Chair,oak
1949-01-01T00:00:00Z,aic,,,Hans J. Wegner,Folding Chair,spanish cane
1957-01-01T00:00:00Z,aic,Paul McCobb,,Paul McCobb,Side Chair,mahogany
1957-01-01T00:00:00Z,aic,,,Paul McCobb,Side Chair,leather upholstery
1830-01-01T00:00:00Z,aic,Filipo Pelagio Palagi,,Filipo Pelagio Palagi,Side Chair,mahogany
1830-01-01T00:00:00Z,aic,,,Filipo Pelagio Palagi,Side Chair,maple
1830-01-01T00:00:00Z,aic,,,Filipo Pelagio Palagi,Side Chair,upholstery
1730-01-01T00:00:00Z,aic,Giles Grendey,,Giles Grendey,Chair,wood
1730-01-01T00:00:00Z,aic,,,Giles Grendey,Chair,
1730-01-01T00:00:00Z,aic,,,Giles Grendey,Chair,lacquer
1730-01-01T00:00:00Z,aic,,,Giles Grendey,Chair,cane
1750-01-01T00:00:00Z,aic,Artist unknown,,Artist unknown,Side Chair,mahogany
1750-01-01T00:00:00Z,aic,,,Artist unknown,Side Chair,tulip poplar
1750-01-01T00:00:00Z,aic,,,Artist unknown,Side Chair,upholstery
1755-01-01T00:00:00Z,aic,Artist unknown,,Artist unknown,Side Chair,mahogany
1755-01-01T00:00:00Z,aic,,,Artist unknown,Side Chair,yellow pine
1755-01-01T00:00:00Z,aic,,,Artist unknown,Side Chair,white pine
1755-01-01T00:00:00Z,aic,,,Artist unknown,Side Chair,atlantic white cedar
1755-01-01T00:00:00Z,aic,,,Artist unknown,Side Chair,upholstery
1920-01-01T00:00:00Z,aic,Léon Albert Jallot,,Léon Albert Jallot,Side Chair,walnut
1920-01-01T00:00:00Z,aic,,,Léon Albert Jallot,Side Chair,shagreen
1890-01-01T00:00:00Z,aic,Artist unknown,,Artist unknown,Armchair (1 of 3),paint
1890-01-01T00:00:00Z,aic,,,Artist unknown,Armchair (1 of 3),cast iron
1885-01-01T00:00:00Z,aic,Louis Comfort Tiffany,,Louis Comfort Tiffany,Side Chair (part of a set),paint
1885-01-01T00:00:00Z,aic,,,Louis Comfort Tiffany,Side Chair (part of a set),maple
1885-01-01T00:00:00Z,aic,,,Louis Comfort Tiffany,Side Chair (part of a set),vinyl
1725-01-01T00:00:00Z,aic,Artist unknown,,Artist unknown,Chair (one of a pair),padauk wood
1725-01-01T00:00:00Z,aic,,,Artist unknown,Chair (one of a pair),textile
1790-01-01T00:00:00Z,aic,Artist unknown,,Artist unknown,Side Chair,mahogany
1790-01-01T00:00:00Z,aic,,,Artist unknown,Side Chair,walnut
1790-01-01T00:00:00Z,aic,,,Artist unknown,Side Chair,ash
1790-01-01T00:00:00Z,aic,,,Artist unknown,Side Chair,upholstery
1984-01-01T00:00:00Z,v&a,Venturi Scott Brown,,Venturi Scott Brown,Chippendale Chair with Grandmother pattern,plywood
1984-01-01T00:00:00Z,v&a,,,Venturi Scott Brown,Chippendale Chair with Grandmother pattern,plastic laminate
1990-01-01T00:00:00Z,v&a,Jasper Morrison,,Jasper Morrison,Ply Chair,plywood
1990-01-01T00:00:00Z,v&a,,,Jasper Morrison,Ply Chair,veneer
1901-01-01T00:00:00Z,v&a,Ambrose Heal,,Ambrose Heal,Joan's chair,oak
2010-01-01T00:00:00Z,v&a,nendo,,nendo,21400 mm chair,steel
1992-01-01T00:00:00Z,v&a,Jane Atfield,,Jane Atfield,RCP2 Chair,polythene
1992-01-01T00:00:00Z,v&a,,,Jane Atfield,RCP2 Chair,metal
1946-01-01T00:00:00Z,v&a,Ernest Race,,Ernest Race,BA3 chair,aluminum
1946-01-01T00:00:00Z,v&a,,,Ernest Race,BA3 chair,plywood
1946-01-01T00:00:00Z,v&a,,,Ernest Race,BA3 chair,fabric
1946-01-01T00:00:00Z,v&a,,,Ernest Race,BA3 chair,rubber
2002-01-01T00:00:00Z,v&a,Ineke Hans,,Ineke Hans,Laser Chair,MDF
1960-01-01T00:00:00Z,v&a,Artist unknown,,Artist unknown,The Keeler Chair,plywood
1960-01-01T00:00:00Z,v&a,,,Artist unknown,The Keeler Chair,tubular steel
1987-01-01T00:00:00Z,v&a,Tom Dixon,,Tom Dixon,S Chair,steel
1987-01-01T00:00:00Z,v&a,,,Tom Dixon,S Chair,rush
1968-01-01T00:00:00Z,v&a,Nathan Silver,,Nathan Silver,'Ad Hoc' chair,steel
1968-01-01T00:00:00Z,v&a,,,Nathan Silver,'Ad Hoc' chair,plastic foam
1968-01-01T00:00:00Z,v&a,,,Nathan Silver,'Ad Hoc' chair,paint
1968-01-01T00:00:00Z,v&a,,,Nathan Silver,'Ad Hoc' chair,lacquer
2008-01-01T00:00:00Z,v&a,Maarten Baas,,Maarten Baas,Plastic Chair in Wood,Chinese elm
2011-01-01T00:00:00Z,v&a,Werner Aisslinger,,Werner Aisslinger,Hemp Chair,fiberglass
2011-01-01T00:00:00Z,v&a,,,Werner Aisslinger,Hemp Chair,hemp
